poem_line,cluster_label,tsne_dim1,tsne_dim2
醉卧沙场君莫笑,2,50.477024,1.5126909
古来征战几人回,1,-48.18704,18.775103
鄙哉匹夫节,18,6.7055674,31.49573
感激有公议,12,22.17286,11.13526
曲私非所求,18,12.214969,18.073835
贱子跪自陈可为帐下不,18,-4.1599765,22.041954
即此羡闲逸,8,42.850346,-18.77817
怅然吟式微,5,-33.1162,-12.611018
果然惬所适,14,46.89051,-11.572835
笑谢桃源人,8,48.891235,-14.712781
临觞忽不御,7,-19.56585,-19.537214
惆怅思远客,5,-33.30958,-11.271435
圣代无隐者,4,37.56877,17.920338
英灵尽来归,15,25.112707,38.362038
吾谋适不用,7,-14.02715,29.814268
勿谓知音稀,12,24.479525,-1.5099946
明时久不达,7,-14.765821,28.882072
弃置与君同,12,9.380769,11.578169
天命无怨色,18,17.567108,23.759932
人生有素风,8,30.864143,9.275848
无庸客昭世,18,11.144338,18.68357
衰鬓日如蓬,6,-18.767717,-0.37459844
余亦从此去,16,-2.1438854,-10.716629
归耕为老农,8,48.57035,-18.194035
他乡绝俦侣,17,-11.626067,-18.321215
孤客亲憧仆,16,-15.642232,-27.242508
此去欲何言,19,-2.5721407,-6.0409994
艳色天下重,4,37.69797,2.8727317
西施宁久微,4,22.76773,14.738819
贱日岂殊众,18,8.532878,24.475067
贵来方悟稀,18,13.822798,19.452751
持谢邻家子,18,15.818958,7.6300898
效颦安可希,18,7.699223,22.606117
百人会中身不预,7,-12.60537,30.26243
五侯门前心不能,7,-14.990554,27.10583
我心不说君应知,0,12.018616,-32.055992
肯作徒尔一男儿,15,32.77406,29.576893
自怜碧玉亲教舞,0,-18.436024,4.528796
不惜珊瑚持与人,4,18.969147,34.39119
谁怜越女颜如玉,0,-18.886377,4.338737
贫贱江头自浣纱,8,28.035532,9.128323
关西老将不胜愁,5,-37.784874,0.8876471
驻马听之双泪流,11,-60.42078,0.0940543
肯数邺下黄须儿,4,33.405407,22.274986
汉兵奋迅如霹雳,15,44.47402,31.73337
虏骑崩腾畏蒺藜,10,10.061921,38.81556
卫青不败由天幸,7,-15.507786,35.721313
李广无功缘数奇,7,-15.620627,35.16207
誓令疏勒出飞泉,15,36.080265,37.84283
不似颍川空使酒,7,5.536,21.531475
愿得燕弓射天将,15,37.376526,33.9601
耻令越甲鸣吾君,15,30.510916,31.520327
犹堪一战取功勋,15,41.506954,30.508154
秦兵益围邯郸急,1,6.033978,42.549934
魏王不救平原君,1,-10.557593,31.610947
非但慷慨献奇谋,15,42.669643,27.398653
意气兼将生命酬,15,41.51496,25.527353
向风刎颈送公子,15,37.725464,42.62631
七十老翁何所求,8,26.323767,20.528866
惊闻俗客争来集,10,7.921338,0.09271432
不疑灵境难闻见,19,4.1313744,-4.0388846
尘心未尽思乡县,17,-5.504157,-25.976597
不辨仙源何处寻,19,3.288339,-4.079845
回看射雕处,16,9.160816,6.4159803
千里暮云平,16,36.736897,-16.526073
相逢方一笑,14,22.104439,-24.522093
相送还成泣,11,-61.63141,-3.10051
祖帐已伤离,3,-25.802595,-13.327007
荒城复愁入,5,-35.986866,1.0989667
望君犹伫立,0,5.5527596,-24.946869
兴阑啼鸟换,9,19.13097,-10.275346
坐久落花多,9,-40.0603,-35.609455
复值接舆醉,2,47.81661,-2.1908314
狂歌五柳前,2,47.73697,1.4014549
欲投人处宿,16,17.084661,-18.83723
兴来每独往,8,41.316433,-28.701694
胜事空自知,9,37.444206,-29.580162
偶然值林叟,14,22.699707,-24.16028
谈笑无还期,16,1.0437143,5.247118
薄暮空潭曲,9,35.317158,-27.93476
安禅制毒龙,8,44.059677,-24.49914
不敢倚先贤,10,-9.358103,15.771461
清镜览衰颜,6,-17.04325,-1.3718804
借问袁安舍,19,4.1886005,-0.101202264
翛然尚闭关,8,39.115353,-26.846441
当令外国惧,15,48.926678,23.269783
不敢觅和亲,10,-9.573903,14.146183
忘身辞凤阙,15,40.94942,38.43653
报国取龙庭,15,38.21204,37.075195
岂学书生辈,15,32.51823,26.889565
应逐使臣星,16,25.797398,4.4338484
怜君不得意,7,-12.346111,-3.4442058
况复柳条春,14,29.298931,-17.959135
羞为献纳臣,7,-7.9635696,19.958988
襄阳好风日,14,27.81615,-11.781007
留醉与山翁,2,49.46349,-3.6546729
晚年惟好静,8,42.042328,-26.298664
万事不关心,8,21.684526,23.505054
老来懒赋诗,6,-14.688588,1.8336782
惟有老相随,6,-15.187078,0.09175934
不能舍余习,18,3.6982641,9.397743
偶被世人知,18,9.34884,19.978071
此心还不知,19,-0.2086719,-3.5188668
酌酒与君君自宽,2,49.676556,-2.3021803
人情翻覆似波澜,18,-4.042227,-0.53473026
世事浮云何足问,8,20.564236,22.653267
不如高卧且加餐,8,41.19125,-17.659554
朝罢须裁五色诏,4,20.056658,39.44732
佩声归向凤池头,4,45.586143,22.78054
海鸥何事更相疑,19,1.2583998,14.005771
君自故乡来,17,-4.0040884,-30.367884
应知故乡事,17,-4.0705943,-30.514524
愿君多采撷,12,10.573446,-24.386576
此物最相思,0,4.3686266,-34.428234
家住水东西,16,11.272943,-10.596492
独坐幽篁里,9,38.84701,-28.841372
弹琴复长啸,8,42.239704,-28.944141
明月来相照,12,24.175856,-28.26398
王孙归不归,19,1.9731289,-19.94303
独在异乡为异客,17,-9.691894,-19.935913
每逢佳节倍思亲,17,-1.9813789,-25.009354
纵死犹闻侠骨香,15,38.637356,40.95701
劝君更尽一杯酒,3,-24.674753,-16.254179
西出阳关无故人,3,-26.45343,-15.232779
唯有相思似春色,0,6.598286,-33.549675
清风明月苦相思,5,-28.631222,-9.927613
荡子从戎十载余,17,-7.437762,-11.956484
征人去日殷勤嘱,12,-2.9505692,-14.545614
归雁来时数附书,16,5.051718,-22.050707
童稚不识衣冠,18,13.192554,5.68275
一瓢颜回陋巷,8,29.38331,13.166585
五柳先生对门,8,29.373055,7.3998833
莺啼山客犹眠,8,39.09137,-23.174574
须尽丘壑美,14,39.513958,-6.5558853
莫学武陵人,18,6.5650816,11.371988
才入维扬郡,16,10.141514,-7.2641997
乡关此路遥,17,-7.7038217,-21.896608
客衣今日薄,13,-36.507362,8.692648
寒气近来饶,10,-41.866882,-30.93391
燕台一去客心惊,5,-38.751705,4.264792
少小虽非投笔吏,15,41.522358,35.415607
论功还欲请长缨,15,40.284637,34.841805
石矶西畔问渔船,19,3.648785,-1.907954
洞在清溪何处边,19,3.3313725,-3.7979746
莫为轻阴便拟归,19,5.249444,9.595756
纵使晴明无雨色,14,29.570692,-13.595897
大雅久不作,7,-29.232386,-24.124645
吾衰竟谁陈,6,-23.00801,10.667133
正声何微茫,9,-17.574043,-38.417084
哀怨起骚人,5,-44.186115,0.65726286
我志在删述,15,30.143547,34.840973
垂辉映千春,14,56.17716,12.937513
希圣如有立,4,29.48189,34.07857
绝笔于获麟,7,-21.504528,11.788139
虎视何雄哉,15,43.040684,29.46097
茫然使心哀,5,-52.12194,-19.864435
何由睹蓬莱,19,10.777604,-15.772493
楼船几时回,16,5.7327023,-18.677233
齐有倜傥生,4,33.12801,17.205803
鲁连特高妙,4,32.753757,16.807913
后世仰末照,4,11.676745,-1.6568701
意轻千金赠,4,23.542347,23.114492
顾向平原笑,14,58.440716,-8.451854
吾亦澹荡人,8,45.267258,-24.300146
拂衣可同调,8,30.750446,10.073372
喧呼救边急,1,6.509971,42.318214
长号别严亲,11,-62.37523,-3.4554815
日月惨光晶,1,-39.727123,17.08513
泣尽继以血,1,-46.02761,19.28568
心摧两无声,11,-51.127003,6.8075333
困兽当猛虎,15,34.202293,28.03602
穷鱼饵奔鲸,18,16.3112,14.717071
千去不一回,16,6.1582956,-7.9410844
投躯岂全生,15,39.186417,40.285675
笑杀邯郸人,18,60.29814,-8.856967
雕虫丧天真,7,-22.5931,11.59095
安得郢中质,16,10.063238,-17.499125
一挥成风斤,4,35.09585,11.253411
白发死章句,6,-22.61207,10.767306
茫如坠烟雾,19,1.6460804,-6.0314403
君非叔孙通,18,6.1262727,18.952559
与我本殊伦,18,7.3505683,18.827534
时事且未达,7,-14.021855,23.987612
归耕汶水滨,8,48.467815,-18.376057
